1560997291780,21.00,60.00
1560997296765,21.00,60.00
1560997301768,21.00,60.00
1560997306775,21.00,60.00
Wed Jun 19 2019 20:30:59 GMT-0600 (Mountain Daylight Time),8:30:59 PM,21.00,60.00
Wed Jun 19 2019 20:31:04 GMT-0600 (Mountain Daylight Time),8:31:04 PM,21.00,60.00
Wed Jun 19 2019 20:31:09 GMT-0600 (Mountain Daylight Time),8:31:09 PM,21.00,60.00
6/19/2019,8:34:47 PM,21.00,60.00
6/19/2019,8:34:52 PM,21.00,60.00
1561001456683,6/19/2019,9:30:56 PM,21.00,60.00
1561001466692,6/19/2019,9:31:06 PM,21.00,60.00
1561001476703,6/19/2019,9:31:16 PM,21.00,60.00
1561001486713,6/19/2019,9:31:26 PM,21.00,60.00
1561001496723,6/19/2019,9:31:36 PM,21.00,60.00
1561001506734,6/19/2019,9:31:46 PM,21.00,60.00
1561001516744,6/19/2019,9:31:56 PM,21.00,60.00
1561001526753,6/19/2019,9:32:06 PM,21.00,60.00
1561001536763,6/19/2019,9:32:16 PM,21.00,60.00
1561001546774,6/19/2019,9:32:26 PM,21.00,60.00
1561001556784,6/19/2019,9:32:36 PM,21.00,60.00
1561001566794,6/19/2019,9:32:46 PM,21.00,60.00
1561001576804,6/19/2019,9:32:56 PM,21.00,60.00
1561001586815,6/19/2019,9:33:06 PM,21.00,60.00
1561001596825,6/19/2019,9:33:16 PM,21.00,60.00
1561001606835,6/19/2019,9:33:26 PM,21.00,60.00
1561001616845,6/19/2019,9:33:36 PM,21.00,60.00
1561001626856,6/19/2019,9:33:46 PM,21.00,60.00
1561001636866,6/19/2019,9:33:56 PM,21.00,60.00
1561001646876,6/19/2019,9:34:06 PM,21.00,60.00
1561001656887,6/19/2019,9:34:16 PM,21.00,60.00
1561001666897,6/19/2019,9:34:26 PM,21.00,60.00
1561001676907,6/19/2019,9:34:36 PM,21.00,60.00
1561001686917,6/19/2019,9:34:46 PM,21.00,60.00
1561001696927,6/19/2019,9:34:56 PM,21.00,60.00
1561001706938,6/19/2019,9:35:06 PM,21.00,60.00
1561001716948,6/19/2019,9:35:16 PM,21.00,60.00
1561001726958,6/19/2019,9:35:26 PM,21.00,60.00
1561001736968,6/19/2019,9:35:36 PM,21.00,60.00
1561001746979,6/19/2019,9:35:46 PM,21.00,60.00
